Imagen|Contraste|Homogeneidad|Disimilitud|Energía|Correlación|Media de la GLCM|Desviación Estándar de la GLCM|Entropía de la GLCM
21-scale_9_im_3_grey.png|517.2116331658292|0.063930275558667|17.261231155778894|0.014169361801730403|0.615366311052958|1.52587890625e-05|5.320421839543862e-05|8.895538696105913
21-scale_9_im_6_grey.png|537.9471356783919|0.06211644143257112|17.64030150753768|0.014092868290132211|0.5961546866234245|1.5258789062500003e-05|5.2893300393427035e-05|8.905088234837557
21-scale_9_im_9_grey.png|606.4489447236182|0.05668616824167717|18.827939698492465|0.013273075318892736|0.5874364902910967|1.52587890625e-05|4.955178426361227e-05|9.00590100075817
48-scale_9_im_1_grey.png|263.70945302077376|0.09310029739374183|11.965980560320181|0.01908701651146295|0.7156417468458665|1.52587890625e-05|7.298056505723697e-05|8.299326504388683
48-scale_9_im_2_grey.png|480.60039960039956|0.0657245749953086|16.67973692973693|0.014937533462626579|0.6081976500399237|1.52587890625e-05|5.63192819976269e-05|8.728716648015919
48-scale_9_im_3_grey.png|756.7410527234638|0.05682622723626066|20.734593226256987|0.010124522467726098|0.7606723467893861|1.5258789062499998e-05|3.648679356130422e-05|9.388571893445231
48-scale_9_im_4_grey.png|215.51055983908816|0.09747727440031584|10.969110674776113|0.01946479278447114|0.7552288565602671|1.52587890625e-05|7.448752413545186e-05|8.241921744612517
48-scale_9_im_5_grey.png|660.8322510822512|0.049524274297795774|20.074576938213305|0.011702148411418025|0.6406129180031611|1.5258789062499998e-05|4.308958301036176e-05|9.10931205088427
48-scale_9_im_6_grey.png|782.537843636182|0.0550551755420073|21.168188394950853|0.010015088007925511|0.7743884483548644|1.5258789062500003e-05|3.6022995861461344e-05|9.396563321488951
48-scale_9_im_7_grey.png|334.6654691462383|0.08198545797995088|13.599704142011833|0.01658149242271297|0.7101526251522291|1.5258789062500003e-05|6.294847663108595e-05|8.547965079036546
48-scale_9_im_8_grey.png|244.82215675271232|0.09752590246176125|11.487794612794614|0.02241736943636526|0.6182796480147451|1.52587890625e-05|8.622817171912093e-05|8.02745096397641
48-scale_9_im_9_grey.png|750.958661417323|0.05598296141126858|20.708070866141735|0.010392134814027964|0.75130441296962|1.5258789062499998e-05|3.7617345074150755e-05|9.335111789635295
