Imagen|GLCM_Contraste|GLCM_Correlacion|GLCM_Energia|GLCM_Homogeneidad|LBP_Media|LBP_Desv|Gabor_0|Gabor_45|Gabor_90|Gabor_135|Wavelet_Aprox|Wavelet_Horiz|Wavelet_Vert|Wavelet_Diag
21-scale_9_im_3_grey.png|0.67572864321608|0.548745601675371|0.139797614959218|0.747629815745394|0.07436156|0.1068873|123.216915358591|168.777407469701|163.347228831796|177.737617401698|618598643.75|4068508.75|3780380.75|1343045.75
21-scale_9_im_6_grey.png|0.699145728643216|0.528478549277339|0.136447031640615|0.740394472361809|0.07393847|0.1071805|134.07620815953|167.705921292012|153.497800633572|176.356765953171|599125089.25|3973459.25|3925282.25|1388336.25
21-scale_9_im_9_grey.png|0.760552763819095|0.529674537533586|0.1261134996591|0.730434673366834|0.07348843|0.1074897|134.127758874042|183.521143767572|174.402632964536|186.018123787831|603160090.5|4727384.5|4346806.5|1674410.5
48-scale_9_im_1_grey.png|0.416904898036974|0.617570603192847|0.205080914397289|0.819299123308557|0.07800417|0.1042771|101.905609709397|118.632593646492|151.516561639155|123.477542010645|317063791|1550895|1024716|385112
48-scale_9_im_2_grey.png|0.632700632700633|0.536545834759244|0.155597773854517|0.75856573981574|0.07929497|0.1032981|174.940042055363|128.258410014952|125.01556338043|162.298625570014|359891224.25|1747931.25|2280296.25|581871.25
48-scale_9_im_3_grey.png|0.903587639664804|0.720259437935373|0.0700818080252645|0.716602653631285|0.08264721|0.1006338|147.541926175733|223.962862115474|270.474988865781|228.088395972246|280571476.25|5375116.25|3206638.25|1191734.25
48-scale_9_im_4_grey.png|0.368708395191801|0.651460770825677|0.212916275367142|0.831202209345019|0.08363304|0.09982596|99.7297082021828|102.436287816599|131.164705365388|127.977379714401|295739805|1180764|859636|264425
48-scale_9_im_5_grey.png|0.809130263675718|0.582886096741502|0.0993962058447676|0.716233766233766|0.08551303|0.0982186|221.645022610944|154.91820561794|139.149072458234|200.231086213508|221671204.25|1700341.25|2830669.25|563908.25
48-scale_9_im_6_grey.png|0.927406076934591|0.738315000665058|0.0655864127519736|0.708134178183572|0.08612644|0.09768058|157.842932051284|227.975480447404|259.639194291743|249.111564490516|250337785.75|4534175.75|3030766.75|950416.75
48-scale_9_im_7_grey.png|0.488757396449704|0.618783642558282|0.191932505364458|0.798281910397295|0.07693733|0.1050674|109.647024826197|149.590783198407|169.182203042586|135.271516172923|405207502|2187668|1423870|570746
48-scale_9_im_8_grey.png|0.392255892255892|0.504615573404327|0.280744593473217|0.829373986781394|0.07672931|0.1052195|118.741369808347|94.9493134897629|95.2944843689125|113.191876599929|364156166.75|870923.75|1032704.75|292987.75
48-scale_9_im_9_grey.png|0.89990157480315|0.710525598317662|0.0727178771545043|0.715016404199475|0.08358609|0.09986885|151.801356913987|236.614695775474|249.268817961686|225.110354496321|213769668.75|4285052.75|2840701.75|940235.75
